1,46398,50688,38
2,41450,24158,88
3,16839,72386,51
4,39830,17713,55
5,93750,44121,103
6,37416,48086,59
7,13682,23360,75
8,3255,40601,33
9,92010,86592,102
10,98070,47892,11
11,43112,85332,62
12,36653,44790,70
13,74282,8623,102
14,94654,95771,77
15,60973,27660,70
16,41119,54514,48
17,32220,36011,19
18,8257,94816,8
19,75621,24667,61
20,53560,76167,16
21,4124,91291,72
22,74249,56393,33
23,68090,87134,51
24,36382,3153,37
25,43834,26415,67
26,70798,63217,40
27,61461,76713,49
28,67001,27280,67
29,60272,18768,98
30,91156,39716,55
31,94177,36092,23
32,29501,21826,9
33,30554,72658,67
34,65832,50433,14
35,94452,18869,14
36,48488,39966,28
37,87021,58402,10
38,93646,95863,6
39,83539,78055,37
40,49862,81559,83
41,47374,2882,49
42,92975,21475,21
43,92727,60317,75
44,125,58951,58
45,21375,69401,74
46,89274,40521,54
47,58072,73591,95
48,56855,11438,13
49,50747,94852,4
50,61183,76745,80
51,49063,41252,94
52,94751,1667,16
53,2084,88051,27
54,25079,18073,102
55,25404,13090,93
56,1220,68408,93
57,37644,41732,35
58,93172,25234,70
59,38772,63590,18
60,63481,60109,30
61,91417,5692,102
62,70474,68665,22
63,3033,58664,16
64,66454,8202,103
65,18427,73063,38
66,61000,39752,99
67,12905,72393,62
68,33286,23621,73
69,71086,65133,95
70,30751,55599,68
71,24710,76172,6
72,20031,44162,24
73,74803,97073,7
74,62648,27501,35
75,38578,96468,102
76,47455,7404,74
77,6710,11148,52
78,22258,64422,87
79,20046,97199,43
80,3294,26811,30
81,11884,49536,98
82,53351,25095,67
83,57198,79204,95
84,25118,97643,70
85,66334,18719,77
86,17603,12790,99
87,64923,57994,13
88,81964,29131,2
89,18249,36319,65
90,50946,37935,98
91,13490,58163,89
92,63797,45413,36
93,53583,23470,37
94,60567,4651,44
95,66694,23442,1
96,22276,79806,44
97,85955,47423,68
98,56006,83006,59
99,75861,8843,35
100,93310,12588,81
101,70067,22128,72
102,57587,88860,77
103,65503,4264,84
104,75830,33176,22
105,87677,44509,103
106,48199,17371,70
107,41555,81989,7
108,10022,95225,13
109,86515,72255,2
110,67009,71413,91
111,66992,90804,34
112,64988,59558,63
113,23895,63809,33
114,99304,86290,33
115,7880,60908,37
116,19439,8980,47
117,34274,50282,2
118,2262,55509,15
119,77429,35864,5
120,36214,32024,90
121,14163,20086,20
122,67262,22314,4
123,7798,85387,76
124,6406,3097,83
125,32046,33703,100
126,74592,15988,100
127,32087,99062,95
128,10167,5312,24
129,50163,56675,47
130,74019,18494,90
131,94813,71667,19
132,39929,16542,7
133,80820,84173,35
134,64081,87617,59
135,13689,88817,29
136,63702,14541,52
137,84136,4394,69
138,62253,16586,61
139,83190,17589,69
140,22101,66989,95
141,76777,90271,51
142,5738,14744,5
143,54376,5971,104
144,99470,48016,99
145,48271,73253,80
146,39621,35882,47
147,62094,57881,104
148,70957,83471,80
149,424,27734,54
150,24848,378,102
151,71837,61370,104
152,68801,55297,101
153,82136,23157,72
154,54357,96389,98
155,59017,42233,15
156,90429,62441,71
157,19445,74637,53
158,22859,31537,10
159,55991,31200,98
160,59445,58257,43
161,49318,562,57
162,5912,32048,46
163,59627,45478,94
164,20782,65292,59
165,86022,49626,64
166,81142,64918,44
167,99712,79178,6
168,6948,66478,27
169,46407,3045,67
170,90886,87850,6
171,52690,63846,40
172,93473,54121,76
173,59329,95155,33
174,86035,21893,46
175,78684,76125,19
176,94208,61676,68
177,41802,34487,26
178,13903,15622,50
179,94534,47111,59
180,60382,35365,45
181,78113,28151,56
182,90025,35082,15
183,87665,38326,56
184,41244,22691,44
185,38382,51667,97
186,55781,87996,90
187,87558,99697,27
188,16374,41022,54
189,84532,18988,14
190,1810,85529,92
191,85339,4273,75
192,79327,61806,89
193,995,89903,10
194,22376,25087,21
195,5631,67633,100
196,85146,15571,73
197,39391,31731,98
198,44948,75803,33
199,14365,81980,30
200,88123,89340,29
201,38544,9706,28
202,79853,6863,89
203,86477,91218,99
204,79729,77413,4
205,74751,57552,55
206,58644,13053,77
207,55317,60289,14
208,98758,19339,28
209,59620,84405,68
210,49621,85768,81
211,72308,6718,100
212,91764,73285,50
213,73198,52846,70
214,40530,9912,1
215,38376,81009,8
216,69814,59631,54
217,79439,51521,90
218,59792,92765,36
219,72553,49435,50
220,49598,64742,20
221,944,40648,83
222,40384,87010,96
223,52962,6376,91
224,85602,90852,51
225,75099,51282,76
226,48446,191,53
227,58119,68036,29
228,95495,85153,50
229,63162,995,31
230,78804,28264,76
231,84297,90001,100
232,59840,25381,9
233,25028,38370,5
234,85450,45848,62
235,72868,75996,58
236,70344,62541,26
237,67009,87059,52
